Crit Consensus,Description,Director,Entity,Genre,Id,Mpa Rating,Stars,Title,Year,F1,Imdb Gross,IMDB Rating,Imdb Votes,Runtime,Tom Ratings,Tomato Meter,Tomato Review,Tomatoes Audience Score,Tomatoes Score Delta
"Batman: The Movie elevates camp to an art form -- and has a blast doing it, every gloriously tongue-in-cheek inch of the way.",The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,Leslie H. Martinson,DC COMICS,"Adventure, Comedy, Crime",59,PG,"Adam West,Burt Ward,Lee Meriwether,Cesar Romero",Batman: The Movie,1966,59,0,6.5,30289,105,100000,79,33,62,-17
"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",Richard Donner,DC COMICS,"Action, Adventure, Drama",60,PG,"Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando",Superman,1978,60,134220000,7.3,162395,143,250000,94,68,86,-8
"The humor occasionally stumbles into slapstick territory, and the special effects are dated, but Superman II meets, if not exceeds, the standard set by its predecessor.","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.",Richard Lester,DC COMICS,"Action, Adventure, Sci-Fi",61,PG,"Gene Hackman,Christopher Reeve,Margot Kidder,Ned Beatty",Superman II,1980,61,108190000,6.8,100030,127,100000,86,51,76,-10
"Unabashedly campy -- often to its detriment -- Swamp Thing is not without its charms, among them Adrienne Barbeau as the damsel in distress.","After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster.",Wes Craven,DC COMICS,"Horror, Sci-Fi",62,PG,"Louis Jourdan,Adrienne Barbeau,Ray Wise,David Hess",Swamp Thing,1982,62,0,5.4,13328,91,10000,63,38,40,-23
"When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.,Richard Lester,DC COMICS,"Action, Adventure, Comedy",63,PG,"Christopher Reeve,Richard Pryor,Margot Kidder,Jackie Cooper",Superman III,1983,63,59950000,5,65340,125,100000,30,53,23,-7
"The effects are cheesy and Supergirl's wide-eyed, cheery heroine simply isn't interesting to watch for an hour and a half.","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",Jeannot Szwarc,DC COMICS,"Action, Adventure, Fantasy",64,PG,"Helen Slater,Faye Dunaway,Peter O'Toole,Mia Farrow",Supergirl,1984,64,13600000,4.4,19361,124,25000,9,32,26,17
"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.","The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.",Sidney J. Furie,DC COMICS,"Action, Adventure, Sci-Fi",65,PG,"Christopher Reeve,Gene Hackman,Margot Kidder,Jackie Cooper",Superman IV: The Quest for Peace,1987,65,15680000,3.7,44082,90,50000,11,45,16,5
A mad scientist's (Louis Jourdan) vegetarian stepdaughter (Heather Locklear) falls in love with one of his leafy failures.,"In this tongue-in-cheek sequel, the benevolent bog creature falls for the vegetarian, plant-loving daughter of the evil scientist who created him.",Jim Wynorski,DC COMICS,"Action, Adventure, Comedy",66,PG-13,"Dick Durock,Heather Locklear,Louis Jourdan,Sarah Douglas",The Return of Swamp Thing,1989,66,190000,4.6,4454,88,2500,44,9,55,11
"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Tim Burton,DC COMICS,"Action, Adventure",67,PG-13,"Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl",Batman,1989,67,251190000,7.5,344868,126,250000,71,76,84,13
"Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton,DC COMICS,"Action, Crime, Fantasy",68,PG-13,"Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken",Batman Returns,1992,68,162830000,7,279545,126,250000,80,84,73,-7
"Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Joel Schumacher,DC COMICS,"Action, Adventure",69,PG-13,"Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman",Batman Forever,1995,69,184030000,5.4,238230,121,250000,38,68,32,-6
Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,Joel Schumacher,DC COMICS,"Action, Sci-Fi",70,PG-13,"Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman",Batman & Robin,1997,70,107330000,3.8,237759,125,250000,12,93,16,4
"Steel is a badly-acted movie that indulges not only in superhero cliches, but also the sappy TV-movie-of-the-week ones.",A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.,Kenneth Johnson,DC COMICS,"Action, Adventure, Crime",71,PG-13,"Shaquille O'Neal,Annabeth Gish,Judd Nelson,Richard Roundtree",Steel,1997,71,1710000,2.9,11519,97,5000,12,26,15,3
"Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",Pitof,DC COMICS,"Action, Crime, Fantasy",72,PG-13,"Halle Berry,Sharon Stone,Benjamin Bratt,Lambert Wilson",Catwoman,2004,72,40200000,3.4,112972,104,250000,9,198,18,9
"Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up: The Matrix.","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",Francis Lawrence,DC COMICS,"Action, Fantasy, Horror",73,R,"Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf",Constantine,2005,73,75980000,7,315617,121,250000,46,230,72,26
"Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,DC COMICS,"Action, Adventure",74,PG-13,"Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson",Batman Begins,2005,74,206850000,8.2,1338140,140,250000,84,288,94,10
Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",Bryan Singer,DC COMICS,"Action, Sci-Fi",75,PG-13,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden",Superman Returns,2006,75,200080000,6,273696,154,250000,75,267,61,-14
"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,DC COMICS,"Action, Crime, Drama",76,PG-13,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",The Dark Knight,2008,76,534860000,9,2369304,152,250000,94,344,94,0
"Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,DC COMICS,"Action, Drama, Mystery",77,R,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman",Watchmen,2009,77,107510000,7.6,518415,162,250000,65,312,71,6
"Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.","The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.",Jimmy Hayward,DC COMICS,"Action, Drama, Fantasy",78,PG-13,"Josh Brolin,Megan Fox,John Malkovich,Michael Fassbender",Jonah Hex,2010,78,10540000,4.7,56225,81,100000,12,153,20,8
"Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",Martin Campbell,DC COMICS,"Action, Adventure, Sci-Fi",79,PG-13,"Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong",Green Lantern,2011,79,116600000,5.5,270939,114,100000,26,246,45,19
"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,DC COMICS,"Action, Adventure",80,PG-13,"Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman",The Dark Knight Rises,2012,80,448140000,8.4,1552223,164,250000,87,371,90,3
Man of Steel's exhilarating action and spectacle can't fully overcome its detours into generic blockbuster territory.,"An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",Zack Snyder,DC COMICS,"Action, Adventure, Sci-Fi",81,PG-13,"Henry Cavill,Amy Adams,Michael Shannon,Diane Lane",Man of Steel,2013,81,291050000,7,718956,143,250000,56,338,75,19
Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",Zack Snyder,DC COMICS,"Action, Adventure, Sci-Fi",82,PG-13,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg",Batman v Superman: Dawn of Justice,2016,82,330360000,6.4,653270,152,100000,28,432,63,35
"Suicide Squad boasts a talented cast and a little more humor than previous DCEU efforts, but they aren't enough to save the disappointing end result from a muddled plot, thinly written characters, and choppy directing.",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,David Ayer,DC COMICS,"Action, Adventure, Fantasy",83,PG-13,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",Suicide Squad,2016,83,325100000,5.9,622206,123,100000,26,386,59,33
"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Patty Jenkins,DC COMICS,"Action, Adventure, Fantasy",84,PG-13,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis",Wonder Woman,2017,84,412560000,7.4,596901,141,100000,93,466,83,-10
"Justice League leaps over a number of DC movies, but its single bound isn't enough to shed the murky aesthetic, thin characters, and chaotic action that continue to dog the franchise.","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.",Zack Snyder,DC COMICS,"Action, Adventure, Fantasy",85,PG-13,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller",Justice League,2017,85,229020000,6.1,416837,120,100000,40,402,69,29
"Aquaman swims with its entertainingly ludicrous tide, offering up CGI superhero spectacle that delivers energetic action with an emphasis on good old-fashioned fun.","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,DC COMICS,"Action, Adventure, Fantasy",86,PG-13,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson",Aquaman,2018,86,335060000,6.9,400424,143,25000,65,406,74,9
"An effortlessly entertaining blend of humor and heart, Shazam! is a superhero movie that never forgets the genre's real power: joyous wish fulfillment.",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,David F. Sandberg,DC COMICS,"Action, Adventure, Comedy",87,PG-13,"Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer",Shazam!,2019,87,140370000,7,279604,132,10000,90,409,82,-8
Joker gives its infamous central character a chillingly plausible origin story that serves as a brilliant showcase for its star -- and a dark evolution for comics-inspired cinema.,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,DC COMICS,"Crime, Drama, Thriller",88,R,"Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy",Joker,2019,88,335450000,8.4,1014748,122,50000,68,585,88,20
"With a fresh perspective, some new friends, and loads of fast-paced action, Birds of Prey captures the colorfully anarchic spirit of Margot Robbie's Harley Quinn.","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",Cathy Yan,DC COMICS,"Action, Adventure, Comedy",89,R,"Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,Jurnee Smollett",Birds of Prey,2020,89,84160000,6.1,186805,109,10000,79,430,78,-1
"Wonder Woman 1984 struggles with sequel overload, but still offers enough vibrant escapism to satisfy fans of the franchise and its classic central character.","Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins,DC COMICS,"Action, Adventure, Fantasy",90,PG-13,"Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal",Wonder Woman 1984,2020,90,46370000,5.4,212554,151,2500,59,431,73,14
